areaFIPS,areaname,areaname2,Category,Subcategory,allchildren0to2,atleast1immigparent,allnativebornparents,lowincome,notlowincome,parpostsec,pareducHSless
12940,Baton Rouge, LA,Parental nativity,Only native-born parents,0.920378745,0,1,0.922849357,0.917640567,0.918806314,0.924108148
12940,Baton Rouge, LA,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
12980,Battle Creek, MI,Parental nativity,Only immigrant parents,0.056233168,0,0,0.08181265,0,0.018419385,0
12980,Battle Creek, MI,Parental nativity,One immigrant and one native-born parent,0.024394108,0,0,0.036800489,0,0.029342473,0
12980,Battle Creek, MI,Parental nativity,Only native-born parents,0.919372737,0,1,0.881386876,0.960661173,0.952238142,0
12980,Battle Creek, MI,Parental nativity,At least one immigrant parent,0,0,0,0,0.039338827,0,0
13020,Bay City, MI,Parental nativity,Only immigrant parents,0.023613399,0,0,0,0.022489727,0.032121513,0
13020,Bay City, MI,Parental nativity,One immigrant and one native-born parent,0.014460919,0,0,0,0.025023757,0.019671315,0
13020,Bay City, MI,Parental nativity,Only native-born parents,0.961925685,0,1,0.974650323,0.952486515,0.9482072,0
13020,Bay City, MI,Parental nativity,At least one immigrant parent,0,0,0,0.025349677,0,0,0
13060,Bay City, TX,Parental nativity,Only immigrant parents,0.219480708,0,0,0.305066079,0.126840994,0.089548022,0.353541255
13060,Bay City, TX,Parental nativity,One immigrant and one native-born parent,0.070865013,0,0,0.107654184,0.030958831,0.080790959,0.060623724
13060,Bay City, TX,Parental nativity,Only native-born parents,0.709654272,0,1,0.587279737,0.84220016,0.829661012,0.58583504
13060,Bay City, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
13100,Beatrice, NE,Parental nativity,Only immigrant parents,0.016022431,0,0,0,0.006576657,0.0049389,0
13100,Beatrice, NE,Parental nativity,One immigrant and one native-born parent,0.085119165,0,0,0,0.0803046,0.059786845,0
13100,Beatrice, NE,Parental nativity,Only native-born parents,0.898858428,0,1,0.876579225,0.91311872,0.935274243,0
13100,Beatrice, NE,Parental nativity,At least one immigrant parent,0,0,0,0.123420775,0,0,0
13140,Beaumont-Port Arthur, TX,Parental nativity,Only immigrant parents,0.129949301,0.597763836,0,0.178276718,0.075714752,0.087475538,0.189403117
13140,Beaumont-Port Arthur, TX,Parental nativity,One immigrant and one native-born parent,0.087443084,0.402236193,0,0.083790265,0.092889659,0.072465248,0.108408727
13140,Beaumont-Port Arthur, TX,Parental nativity,Only native-born parents,0.782607615,0,1,0.73793304,0.831395566,0.840059221,0.702188134
13140,Beaumont-Port Arthur, TX,Parental nativity,At least one immigrant parent,0,0,0,0,0,0,0
13180,Beaver Dam, WI,Parental nativity,Only immigrant parents,0.051925573,0,0,0,0,0.018161178,0
13180,Beaver Dam, WI,Parental nativity,One immigrant and one native-born parent,0.042189527,0,0,0,0,0.043700341,0
13180,Beaver Dam, WI,Parental nativity,Only native-born parents,0.905884922,0,1,0,0.965569317,0.938138485,0
13180,Beaver Dam, WI,Parental nativity,At least one immigrant parent,0,0,0,0,0.034430683,0,0
13220,Beckley, WV,Parental nativity,Only immigrant parents,0,0,0,0,0,0,0
13220,Beckley, WV,Parental nativity,One immigrant and one native-born parent,0,0,0,0,0,0,0
13220,Beckley, WV,Parental nativity,Only native-born parents,0.972651958,0,1,0.984615386,0.960796535,0.959971905,0
13220,Beckley, WV,Parental nativity,At least one immigrant parent,0.027348042,0,0,0.015384614,0.039203465,0.040028095,0
